prediction_index,reference_locus,gene,annotation,method,rank,p_value,fdr,combined_p_value,energy,strand,gene_start,gene_end,translation_start,mrna_start,mrna_stop,binding_left,binding_right,srna_start,srna_stop,srna_binding_left,srna_binding_right,genomic_binding_coord_1,genomic_binding_coord_2,genomic_binding_left,genomic_binding_right,TSS_support,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,operon_id,operon_size,operon_position,operon_role,transcript_context_class,binding_position_basic,binding_context,binding_upstream_of_selected_TSS,binding_review_flag,source_file
1,MIDG2331_RS00110,ftsA,cell division protein FtsA,CopraRNA,5,0.0228394,0.073716042,0.001675365,-14.0141,+,25146,26420,25146,-20,18,-20,18,49,90,49,90,25126,25164,25126,25164,No_proximal_TSS,,,,,6,16,14,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
2,MIDG2331_RS00110,ftsA,cell division protein FtsA,IntaRNA,21,0.0098982,0.9562049,,-12.24,+,25146,26420,25146,-20,19,-20,19,49,90,49,90,25126,25165,25126,25165,No_proximal_TSS,,,,,6,16,14,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
3,MIDG2331_RS00360,dppF,ABC transporter ATP-binding protein,IntaRNA,29,0.0145174,0.967073,,-11.65,+,80285,81274,80285,44,60,44,60,58,75,58,75,80329,80345,80329,80345,No_proximal_TSS,,,,,34,6,6,last,Last_gene_without_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
4,MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,TargetRNA2,40,0.046,,,-8.5,-,82953,83990,83990,-12,8,-12,8,70,88,70,88,84002,83982,83982,84002,Both_discordant,,,,,36,3,1,first,Operon_first_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,discordant_TSS_context,TargetRNA2_GcvB_APP5.csv
5,MIDG2331_RS00390,recR,recombination mediator RecR,IntaRNA,48,0.0258511,0.967073,,-10.73,-,84536,85141,85141,-1,31,-1,31,60,92,60,92,85142,85110,85110,85142,Both_concordant,85577,-436,436,,38,2,2,last,Last_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
6,MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase,IntaRNA,70,0.039678,0.967073,,-10.02,-,100919,102754,102754,-31,-21,-31,-21,77,87,77,87,102785,102775,102775,102785,No_proximal_TSS,,,,,49,3,3,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
7,MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase,TargetRNA2,9,0.005,,,-12.55,-,100919,102754,102754,-32,-20,-32,-20,76,88,76,88,102786,102774,102774,102786,No_proximal_TSS,,,,,49,3,3,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
8,MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,CopraRNA,13,0.0455624,0.38110514,0.022994407,-12.5664,-,103111,104763,104763,-12,2,-12,2,73,87,73,87,104775,104761,104761,104775,WT_broth_only,104815,-52,52,52,49,3,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
9,MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,IntaRNA,52,0.029568,0.967073,,-10.51,-,103111,104763,104763,-10,1,-10,1,75,85,75,85,104773,104762,104762,104773,WT_broth_only,104815,-52,52,52,49,3,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
10,MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,TargetRNA2,26,0.026,,,-9.8,-,103111,104763,104763,-13,4,-13,4,72,88,72,88,104776,104759,104759,104776,WT_broth_only,104815,-52,52,52,49,3,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
