reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,TSS_support,WT_plate_TSS,WT_broth_TSS,TSS_difference,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,multiple_proximal_TSS,operon_id,operon_size,operon_position,operon_role,operon_status,operon_start_compatible,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,transcript_context_class,UTR_interpretation,transcript_review_flag,n_method_level_interactions,n_prediction_methods,any_5UTR_binding,any_candidate_internal_5UTR_binding,any_start_codon_overlap,any_CDS_binding,any_binding_upstream_of_TSS
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,No_proximal_TSS,,,,,,,,FALSE,6,16,14,internal,Internal gene in polycistronic operon,FALSE,9914,28624,mraZ,lpxC,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS00360,dppF,ABC transporter ATP-binding protein,+,80285,81274,80285,No_proximal_TSS,,,,,,,,FALSE,34,6,6,last,Last gene in polycistronic operon,FALSE,73811,81274,cds-WP_005595694.1,cds-WP_012262684.1,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,Both_discordant,84019,84486,467,,,,,TRUE,36,3,1,first,First gene in polycistronic operon,TRUE,81835,83990,cds-WP_005603248.1,cds-WP_012262685.1,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1,Operon_first_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS00390,recR,recombination mediator RecR,-,84536,85141,85141,Both_concordant,85577,85577,0,85577,-436,436,,FALSE,38,2,2,last,Last gene in polycistronic operon,FALSE,84536,85541,cds-WP_005600053.1,recR,cds-WP_005600053.1;recR,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase,-,100919,102754,102754,No_proximal_TSS,,,,,,,,FALSE,49,3,3,last,Last gene in polycistronic operon,FALSE,100919,104763,ilvG,ilvD,ilvG;ilvM;ilvD,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,-,103111,104763,104763,WT_broth_only,,104815,,104815,-52,52,52,FALSE,49,3,1,first,First gene in polycistronic operon,TRUE,100919,104763,ilvG,ilvD,ilvG;ilvM;ilvD,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,3,3,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,Both_concordant,138523,138522,1,138523,-56,56,56,TRUE,64,2,1,first,First gene in polycistronic operon,TRUE,138579,141231,proQ,prc,proQ;prc,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,Both_concordant,149183,149183,0,149183,-27,27,27,TRUE,67,4,1,first,First gene in polycistronic operon,TRUE,145828,149156,rsgA,cds-WP_005595823.1,rsgA;rnhB;cds-WP_005620059.1;cds-WP_005595823.1,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,2,2,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,Both_discordant,149468,149414,54,,,,,TRUE,68,4,1,first,First gene in polycistronic operon,TRUE,149666,152864,cds-WP_005606844.1,cds-WP_005600150.1,cds-WP_005606844.1;yjjG;cysB;cds-WP_005600150.1,Operon_first_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,Both_concordant,151123,151123,0,151123,-113,113,,FALSE,68,4,3,internal,Internal gene in polycistronic operon,FALSE,149666,152864,cds-WP_005606844.1,cds-WP_005600150.1,cds-WP_005606844.1;yjjG;cysB;cds-WP_005600150.1,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
