metric,value
candidate_rows,96
appendix_rows,96
detailed_rows,96
duplicate_candidate_loci,0
candidates_with_2plus_prediction_methods,24
candidates_with_3_prediction_methods,2
candidates_with_R1_interaction,66
candidates_with_R2_interaction,19
candidates_with_any_R1_R2_interaction,85
candidates_with_defined_gene_level_5UTR,30
candidates_with_predicted_5UTR_binding,11
candidates_single_or_first_in_operon,48
candidates_with_exact_CA_motif,6
candidates_with_CA_motif_le1_mismatch,9
candidates_CA_motif_overlapping_predicted_interaction,9
candidates_amino_acid_related,28
candidates_STRING_mapped,79
candidates_STRING_connected,50
appendix_missing_gene,0
appendix_missing_annotation,0
appendix_missing_interaction_context,0
